path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 11s;057days 00h 05m 25s;000days 00h 00m 02s;044days 16h 18m 16s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 04m 56s;044days 01h 04m 59s;000days 00h 00m 00s;039days 22h 36m 55s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 01m 52s;100days 00h 29m 03s;048days 20h 16m 09s;;003days 22h 01m 51s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,check,finish editing;no data;000days 00h 00m 00s;015days 07h 23m 31s;021days 06h 37m 48s;000days 00h 00m 06s;000days 00h 03m 01s;;;;;;;;
initialize,begin editing,save,insert document,save,save,check,finish editing;no data;000days 00h 00m 00s;006days 16h 31m 42s;000days 01h 31m 29s;000days 00h 00m 04s;040days 23h 53m 11s;;;;;;;;
initialize,begin editing,check,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 11s;029days 02h 49m 31s;000days 00h 00m 00s;034days 15h 00m 19s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;019days 01h 09m 15s;020days 01h 29m 36s;000days 00h 00m 11s;023days 00h 13m 27s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing,save,check,check,finish editing;no data;000days 00h 00m 00s;143days 13h 00m 53s;003days 19h 50m 21s;000days 00h 00m 18s;006days 18h 24m 27s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;005days 08h 15m 41s;040days 12h 17m 29s;000days 00h 00m 10s;017days 08h 22m 09s;000days 00h 12m 46s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing,finish editing,save,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;014days 09h 27m 36s;013days 18h 38m 39s;018days 20h 17m 24s;028days 11h 01m 59s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;004days 00h 09m 48s;098days 04h 11m 24s;003days 16h 38m 19s;000days 00h 00m 09s;000days 17h 05m 06s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;087days 18h 15m 07s;000days 00h 01m 08s;000days 00h 00m 06s;012days 09h 34m 16s;;;;;;;;
initialize,begin editing,save,check,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,finish editing;no data;000days 00h 00m 00s;029days 06h 05m 00s;000days 00h 16m 29s;081days 17h 52m 16s;000days 00h 00m 11s;;;;;;;;
initialize,begin editing,save,check,save,check,save,check,check,insert document,save,save,save,check,check,finish editing;no data;005days 08h 10m 11s;000days 03h 44m 48s;000days 00h 01m 16s;000days 00h 00m 03s;005days 11h 38m 30s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;129days 00h 38m 18s;108days 10h 22m 49s;000days 00h 02m 30s;000days 00h 00m 09s;000days 07h 49m 56s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 01s;095days 23h 19m 41s;009days 03h 32m 23s;000days 00h 00m 07s;000days 00h 00m 19s;;;;;;;;
initialize,begin editing,insert document,save,check,save,save,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;002days 14h 08m 57s;002days 23h 50m 56s;000days 00h 00m 07s;000days 00h 00m 15s;;;;;;;;
initialize,begin editing,check,insert document,save,save,save,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;025days 13h 35m 14s;000days 00h 01m 00s;000days 00h 00m 04s;036days 06h 47m 54s;;;;;;;;
initialize,begin editing,insert document,save,check,check,check,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;053days 15h 11m 44s;003days 19h 17m 50s;010days 14h 18m 36s;014days 10h 40m 17s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,check,finish editing,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 01s;044days 23h 57m 44s;016days 18h 50m 58s;000days 00h 00m 38s;012days 09h 22m 27s;;;;;;;;
initialize,insert document,save,begin editing,save,save,save,save,finish editing;no data;008days 02h 23m 36s;005days 14h 01m 21s;000days 00h 00m 10s;042days 23h 35m 04s;;;;;;;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;110days 00h 32m 13s;000days 00h 04m 09s;000days 00h 00m 15s;033days 18h 39m 14s;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,check,discard,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,save,finish editing,save,save,save;no data;000days 00h 00m 00s;050days 05h 10m 02s;090days 21h 49m 42s;000days 00h 00m 09s;015days 01h 17m 06s;;;;;;000days 00h 00m 05s;;
initialize,begin editing,save,save,check,check,finish editing,insert document,save,save,finish editing;no data;001days 02h 20m 16s;000days 00h 30m 01s;040days 22h 33m 30s;014days 10h 47m 10s;000days 00h 09m 12s;;;;;;;;
initialize,begin editing,insert document,save,check,save,check,save,check,check,finish editing,save,finish editing,save,finish editing,finish editing,save,save,save,save,finish editing;no data;000days 00h 00m 00s;061days 18h 53m 00s;008days 02h 14m 19s;002days 10h 12m 09s;009days 05h 30m 35s;;;;;;;;
initialize,begin editing,save,check,finish editing;no data;000days 00h 00m 00s;033days 11h 02m 13s;;000days 00h 00m 05s;033days 04h 02m 18s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;076days 14h 52m 53s;045days 22h 09m 11s;000days 05h 14m 04s;009days 15h 07m 08s;;;;;;;;
initialize,begin editing,finish editing,insert document,save,finish editing,check,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 03m 30s;000days 00h 00m 49s;028days 08h 06m 28s;021days 11h 32m 11s;;;;;;;;
initialize,insert document,save,begin editing,save,save,check,finish editing,insert document,save,finish editing,finish editing,save,check,finish editing;no data;001days 21h 56m 01s;005days 13h 56m 26s;129days 23h 19m 51s;000days 23h 42m 07s;000days 02h 27m 53s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 12s;370days 11h 17m 24s;000days 00h 00m 00s;;002days 03h 02m 54s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;000days 15h 52m 18s;068days 01h 23m 36s;000days 00h 00m 45s;009days 20h 29m 06s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 01s;017days 01h 20m 58s;058days 00h 38m 23s;002days 08h 38m 10s;000days 00h 00m 07s;001days 08h 38m 33s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;021days 16h 37m 32s;022days 00h 37m 37s;000days 00h 00m 03s;068days 00h 41m 43s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;021days 07h 56m 55s;057days 23h 50m 26s;001days 17h 52m 43s;;000days 13h 06m 57s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,check,insert document,save,check,save,save,save,check,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;020days 06h 39m 18s;000days 00h 01m 20s;000days 00h 00m 07s;018days 19h 31m 02s;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,check,finish editing;no data;000days 00h 00m 00s;073days 06h 21m 53s;019days 21h 24m 37s;000days 00h 00m 04s;004days 19h 11m 51s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,save,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,save,finish editing;no data;000days 00h 00m 01s;032days 04h 36m 41s;023days 00h 44m 25s;006days 05h 36m 04s;000days 00h 00m 29s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;012days 06h 10m 31s;183days 02h 34m 10s;000days 19h 27m 58s;;000days 22h 03m 42s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;099days 00h 09m 18s;014days 03h 48m 34s;000days 00h 00m 43s;;000days 00h 19m 05s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,check,check,finish editing;no data;000days 00h 42m 53s;019days 22h 34m 24s;000days 00h 00m 09s;000days 00h 00m 04s;009days 00h 08m 57s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;049days 13h 32m 27s;021days 02h 52m 36s;000days 00h 02m 05s;000days 00h 01m 13s;000days 00h 43m 59s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;059days 17h 59m 48s;057days 08h 35m 51s;000days 00h 00m 20s;000days 00h 00m 04s;001days 08h 40m 34s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,save,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;064days 21h 13m 16s;274days 20h 56m 27s;000days 00h 00m 09s;040days 20h 51m 57s;;;;;;;;
initialize,begin editing,save,insert document,save,insert document,save,check,finish editing;no data;002days 12h 23m 12s;000days 00h 01m 59s;023days 05h 08m 33s;000days 00h 00m 04s;000days 00h 00m 20s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;165days 05h 40m 12s;105days 07h 34m 46s;000days 00h 41m 31s;000days 00h 00m 28s;000days 11h 24m 59s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 01s;071days 18h 12m 26s;097days 19h 10m 21s;023days 08h 01m 29s;;131days 00h 40m 35s;000days 00h 00m 02s;000days 00h 00m 06s;000days 00h 00m 09s;000days 00h 00m 01s;;;
initialize,begin editing,save,insert document,save,save,insert document,save,save,save,save,check,finish editing,save,check,finish editing;no data;006days 01h 40m 47s;040days 18h 24m 38s;024days 00h 17m 02s;000days 00h 00m 36s;000days 00h 00m 15s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,check,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;073days 06h 48m 46s;088days 22h 51m 14s;000days 00h 00m 13s;000days 00h 00m 27s;000days 00h 44m 51s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;078days 13h 21m 29s;021days 06h 05m 25s;000days 00h 05m 15s;000days 00h 01m 50s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;065days 19h 15m 37s;;000days 00h 00m 02s;103days 06h 32m 01s;000days 00h 26m 25s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,save,insert document,save,finish editing;no data;001days 01h 26m 49s;003days 10h 37m 40s;021days 04h 23m 38s;004days 23h 22m 32s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,check,finish editing;no data;000days 00h 00m 00s;016days 01h 10m 41s;017days 10h 53m 25s;000days 00h 00m 07s;048days 02h 07m 28s;;;;;;;;
initialize,begin editing,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;126days 01h 16m 29s;;000days 00h 00m 04s;022days 11h 38m 09s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 02s;000days 00h 00m 02s;000days 00h 00m 01s;;;
initialize,begin editing,insert document,save,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;057days 06h 14m 26s;025days 22h 05m 00s;000days 00h 00m 31s;000days 00h 00m 12s;;;;;;;;
initialize,insert document,save,begin editing,save,save,finish editing,insert document,save,save,finish editing;no data;001days 01h 32m 21s;002days 14h 34m 18s;008days 09h 31m 22s;000days 00h 00m 12s;;;;;;;;;
initialize,begin editing,save,insert document,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,finish editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 06s;002days 17h 41m 22s;037days 23h 29m 34s;000days 00h 00m 31s;;;;;;;;;
initialize,begin editing,finish editing;no data;000days 00h 00m 00s;;;069days 23h 29m 58s;;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;044days 07h 45m 50s;030days 12h 52m 20s;000days 00h 00m 10s;000days 00h 00m 08s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;076days 19h 51m 00s;088days 01h 43m 18s;000days 00h 00m 03s;;000days 06h 43m 43s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing;no data;000days 00h 00m 00s;026days 09h 13m 10s;033days 00h 31m 22s;000days 00h 42m 06s;000days 00h 00m 07s;;;;;;;;
initialize,begin editing,insert document,save,save,check,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;021days 20h 27m 06s;017days 23h 30m 39s;000days 00h 00m 23s;000days 14h 59m 24s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,save,check,finish editing;no data;000days 00h 00m 00s;010days 01h 40m 26s;065days 10h 53m 08s;000days 00h 00m 25s;000days 00h 01m 50s;000days 00h 28m 24s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;095days 08h 42m 01s;063days 09h 55m 26s;011days 06h 45m 13s;;;;;;;;;
initialize,begin editing,check,check,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 08s;036days 04h 12m 41s;000days 00h 00m 11s;011days 12h 33m 38s;;;;;;;;
initialize,begin editing,insert document,save,check,save,check,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;019days 13h 31m 50s;025days 23h 56m 57s;000days 00h 00m 15s;008days 00h 35m 26s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;031days 07h 05m 09s;067days 05h 33m 54s;015days 05h 05m 52s;;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save;no data;000days 00h 00m 00s;075days 04h 12m 53s;208days 02h 56m 11s;000days 00h 00m 06s;;000days 00h 19m 09s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 01m 26s;050days 07h 29m 24s;000days 00h 00m 02s;000days 00h 00m 47s;006days 11h 37m 40s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing;no data;000days 00h 00m 00s;;;000days 14h 01m 16s;041days 22h 54m 14s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;028days 13h 40m 40s;265days 18h 06m 43s;000days 00h 00m 01s;;017days 20h 09m 45s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;009days 18h 00m 10s;061days 23h 06m 59s;016days 12h 25m 56s;000days 00h 00m 16s;;;;;;;;
initialize,begin editing,insert document,save,save,check,check,finish editing,finish editing;no data;000days 00h 00m 00s;001days 21h 56m 28s;017days 00h 24m 09s;065days 10h 53m 21s;006days 12h 16m 31s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;067days 21h 56m 52s;281days 16h 43m 54s;000days 00h 09m 27s;;000days 00h 24m 59s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;011days 23h 30m 16s;195days 21h 09m 41s;021days 20h 50m 15s;;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;070days 04h 33m 51s;021days 03h 40m 46s;000days 00h 00m 07s;041days 06h 21m 36s;021days 17h 32m 01s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;125days 05h 30m 15s;083days 12h 01m 58s;000days 00h 00m 03s;;000days 00h 35m 27s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;024days 04h 43m 22s;044days 03h 45m 36s;005days 09h 41m 38s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;079days 19h 53m 37s;163days 00h 34m 46s;000days 00h 00m 05s;000days 00h 00m 13s;001days 08h 42m 40s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;016days 02h 27m 51s;;000days 00h 00m 04s;065days 00h 53m 16s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;066days 11h 22m 03s;211days 07h 03m 23s;000days 00h 00m 08s;;000days 11h 22m 28s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;103days 00h 01m 15s;012days 06h 25m 05s;000days 00h 00m 13s;000days 00h 38m 33s;;;;;;;;
initialize,begin editing,insert document,save,check,save,save,check,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;050days 15h 52m 29s;000days 00h 08m 07s;000days 00h 00m 46s;000days 00h 00m 58s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;112days 01h 13m 51s;108days 04h 54m 58s;023days 08h 06m 25s;;001days 08h 39m 17s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
