path;fail rate in %;bot share in %
initialize,begin editing,check,check,check,insert document,save,check,check,finish editing,finish editing,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;9.52
initialize,begin editing,insert document,save,save,save,finish editing,finish editing,save,save,finish editing,finish editing,save,finish editing,finish editing;100.0;13.33
initialize,begin editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,finish editing;100.0;20.0
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;100.0;70.0
initialize,begin editing,save,save,save,check,check,finish editing,check,finish editing,check,insert document,save,check,finish editing,save,finish editing;100.0;5.88
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,check,check,finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;100.0;40.0
initialize,begin editing,finish editing,check,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,save,insert document,save,check,save,save,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,save,finish editing,save,save,finish editing,save,finish editing;100.0;26.47
initialize,begin editing,save,insert document,save,check,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,finish editing,save,finish editing,save,check,finish editing;100.0;55.17
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,check,finish editing;100.0;61.54
initialize,begin editing,insert document,save,save,check,check,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;11.76
initialize,begin editing,save,insert document,save,check,save,finish editing,finish editing,check,finish editing,insert document,save,check,finish editing;100.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,finish editing,save,check,insert document,save,check,check,finish editing,save,check,check,finish editing,save,check,finish editing,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,save,save,save,save,check,finish editing;100.0;28.0
initialize,begin editing,check,insert document,save,check,save,finish editing,check,save,check,finish editing,save,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,finish editing,finish editing,save,finish editing,finish editing,save,finish editing,save,check,finish editing,save,save,save,save,finish editing,save,save,finish editing,save,finish editing,save,save,save,finish editing,save,finish editing;100.0;3.64
initialize,begin editing,save,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,save,check,finish editing,save,finish editing;100.0;7.41
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,finish editing,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,save,save,save,save,save,finish editing;100.0;8.7
initialize,begin editing,save,check,insert document,save,check,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;12.5
initialize,begin editing,finish editing,insert document,save,save,check,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;100.0;10.53
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;6.25
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,finish editing,save,finish editing,finish editing,insert document,save,finish editing;100.0;63.64
initialize,begin editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing;100.0;20.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;100.0;15.38
initialize,begin editing,insert document,save,finish editing,save,finish editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;100.0;11.76
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing;10.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing;1.85;73.68
initialize,begin editing,save,insert document,save,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;42.86
initialize,begin editing,save,save,save,save,save,finish editing;0.0;6.25
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,check,finish editing,finish editing;0.0;61.54
initialize,begin editing,insert document,save,save,check,finish editing,check,finish editing;0.0;22.22
initialize,begin editing,insert document,save,save,check,check,save,check,check,finish editing,check,finish editing;0.0;0.0
initialize,begin editing,save,insert document,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,check,finish editing;0.0;6.67
initialize,begin editing,save,insert document,save,save,insert document,save,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,save,save,finish editing,save,save,save,finish editing,save,save,save,finish editing,save,finish editing;0.0;11.11
initialize,begin editing,finish editing,insert document,save,finish editing,finish editing;0.0;28.57
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;53.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,save,check,save,finish editing,save,finish editing;0.0;51.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;80.77
initialize,begin editing,insert document,save,save,check,finish editing,save,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;32.14
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,save,save,save,finish editing;0.0;7.14
initialize,begin editing,check,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,finish editing;0.0;63.64
initialize,begin editing,save,check,check,finish editing,insert document,save,check,finish editing,insert document,save,save,check,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;60.87
initialize,begin editing,check,finish editing,insert document,save,finish editing,finish editing;0.0;25.0
initialize,begin editing,insert document,save,save,check,save,check,check,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,save,check,finish editing,save,finish editing,finish editing;0.0;58.33
initialize,begin editing,save,insert document,save,insert document,save,save,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,finish editing,save,finish editing,save,check,finish editing,finish editing;0.0;58.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing;0.0;51.85
initialize,begin editing,check,insert document,save,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;0.0;52.94
initialize,insert document,save,begin editing,save,save,check,finish editing;0.0;37.5
initialize,begin editing,insert document,save,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;57.14
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing,finish editing;0.0;9.09
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,finish editing,save,finish editing,finish editing,save,finish editing;0.0;56.0
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,save,save,finish editing,finish editing;0.0;11.76
initialize,begin editing,save,insert document,save,save,save,save,save,save,save,save,save,save,save,check,check,finish editing;0.0;0.0
initialize,begin editing,check,insert document,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,save,save,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing;0.0;30.77
initialize,begin editing,insert document,save,check,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.76
initialize,begin editing,check,check,finish editing,insert document,save,check,finish editing,finish editing,save,save,finish editing,save,save,finish editing,save,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;11.76
initialize,begin editing,save,insert document,save,save,save,insert document,save,save,save,save,save,save,save,check,check,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,check,finish editing;0.0;77.78
initialize,begin editing,insert document,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,save,save,save,save,check,finish editing;0.0;10.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,insert document,save,save,save,check,check,finish editing,save,check,finish editing;0.0;51.85
initialize,begin editing,insert document,save,save,save,save,save,save,check,finish editing,save,check,insert document,save,check,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;36.0
initialize,begin editing,save,insert document,save,save,check,save,save,check,insert document,save,finish editing;0.0;0.0
initialize,begin editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;81.82
initialize,begin editing,check,insert document,save,save,check,check,finish editing,save,save,save,check,finish editing,save,finish editing,check,finish editing;0.0;11.11
initialize,insert document,save,begin editing,save,save,check,save,save,check,finish editing;0.0;13.64
initialize,begin editing,insert document,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;0.0;50.0
initialize,begin editing,insert document,save,save,save,save,finish editing,save,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,check,check,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;58.33
initialize,begin editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing;0.0;14.29
initialize,begin editing,save,check,finish editing,insert document,save,save,check,finish editing;0.0;20.0
initialize,begin editing,insert document,save,save,save,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;47.37
initialize,begin editing,insert document,save,save,check,save,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;36.0
initialize,begin editing,finish editing,save,finish editing,check,finish editing,insert document,save,save,finish editing;0.0;18.18
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,check,check,insert document,save,check,finish editing,save,save,finish editing;0.0;18.18
initialize,begin editing,save,insert document,save,save,save,check,finish editing,save,check,finish editing;0.0;16.67
initialize,begin editing,check,finish editing,save,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.11
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,finish editing,finish editing,finish editing;0.0;15.38
initialize,begin editing,save,save,save,insert document,save,save,check,insert document,save,save,check,finish editing,save,finish editing;0.0;6.25
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;0.0;12.5
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;0.0;64.29
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,save,check,finish editing;0.0;18.18
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;44.44
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing;0.0;11.11
initialize,begin editing,insert document,save,save,save,save,save,save,check,save,save,check,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;7.69
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,insert document,save,check,finish editing;0.0;70.0
initialize,insert document,save,begin editing,save,check,save,check,check,save,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,check,check,finish editing,save,check,save,check,save,save,check,finish editing,save,check,finish editing;0.0;11.11
initialize,begin editing,insert document,save,check,save,save,check,finish editing,save,check,finish editing,save,check,save,check,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;6.25
initialize,begin editing,insert document,save,save,check,check,finish editing,save,check,finish editing,save,check,check,finish editing,save,finish editing;0.0;11.76
initialize,insert document,save,begin editing,save,save,save,save,save,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,check,finish editing,insert document,save,finish editing,save,finish editing;0.0;65.22
initialize,begin editing,save,save,check,insert document,save,save,finish editing;0.0;11.11
initialize,begin editing,insert document,save,check,check,save,check,check,finish editing,save,check,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;51.85
initialize,begin editing,insert document,save,save,save,check,save,save,save,finish editing,finish editing,save,finish editing;0.0;14.29
initialize,begin editing,insert document,save,check,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing;0.0;66.67
initialize,begin editing,save,check,save,check,finish editing;0.0;14.29
initialize,begin editing,check,check,finish editing,save,finish editing,check,check,finish editing,insert document,save,check,finish editing,check,finish editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;36.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,save,finish editing,save,finish editing;0.0;63.64
initialize,begin editing,insert document,save,save,check,save,finish editing,save,check,finish editing,save,check,finish editing;0.0;14.29
initialize,begin editing,save,save,save,check,insert document,save,save,save,save,save,save,check,finish editing;0.0;6.67
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,save,save,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;51.85
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;12.5
initialize,begin editing,insert document,save,save,check,check,finish editing,save,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,save,finish editing,insert document,save,finish editing,save,finish editing;0.0;63.64
initialize,begin editing,check,check,finish editing,finish editing,save,finish editing,insert document,save,finish editing;0.0;18.18
initialize,begin editing,check,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;44.44
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing;0.0;22.22
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;45.0
initialize,begin editing,insert document,save,check,save,save,save,save,finish editing;0.0;20.0
initialize,begin editing,insert document,save,save,finish editing,check,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;0.0;12.5
initialize,begin editing,insert document,save,check,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,save,save,check,save,finish editing;0.0;14.29
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;51.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,save,check,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;45.16
initialize,begin editing,check,check,insert document,save,check,save,save,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;50.0
initialize,begin editing,save,insert document,save,check,finish editing,save,finish editing;0.0;22.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,finish editing,save,check,check,check,finish editing,save,finish editing;0.0;48.28
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,save,check,finish editing;0.0;56.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;65.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;88.24
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing;0.0;80.0
initialize,begin editing,save,save,insert document,save,check,check,insert document,save,finish editing;0.0;0.0
initialize,begin editing,finish editing,save,finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,save,save,finish editing;0.0;11.76
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;51.85
initialize,begin editing,save,insert document,save,save,save,save,save,save,save,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;84.0
initialize,begin editing,check,finish editing,insert document,save,finish editing,check,finish editing,save,check,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,save,save,check,finish editing,save,check,finish editing;0.0;56.0
initialize,begin editing,insert document,save,save,check,finish editing,finish editing;0.0;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing;0.0;58.33
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,save,save,save,check,save,save,finish editing,finish editing;0.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;53.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,insert document,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;58.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing;0.0;61.54
initialize,begin editing,check,check,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,check,finish editing,save,finish editing;0.0;42.86
initialize,begin editing,insert document,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;64.29
initialize,begin editing,insert document,save,check,save,save,save,save,check,save,finish editing;0.0;16.67
initialize,begin editing,insert document,save,save,save,check,finish editing,save,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save;0.0;60.87
initialize,begin editing,insert document,save,check,save,finish editing,save,finish editing,save,save,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,save,insert document,save,check,finish editing,save,check,finish editing,finish editing,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,check,save,check,finish editing,save,finish editing;0.0;18.18
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,save,save,save,save,check,finish editing;0.0;61.11
initialize,begin editing,insert document,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,save,finish editing,save,finish editing;0.0;9.09
initialize,begin editing,insert document,save,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;0.0;56.25
initialize,insert document,save,begin editing,save,save,check,check,insert document,save,save,save,check,finish editing,finish editing,save,save,save,save,save,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;10.71
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;0.0;78.95
initialize,begin editing,insert document,save,check,save,check,save,save,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,finish editing,finish editing;0.0;51.85
initialize,begin editing,save,check,discard;0.0;40.0
initialize,begin editing,insert document,save,save,save,save,save,check,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,save,finish editing;0.0;66.67
initialize,begin editing,save,finish editing,insert document,save,finish editing,save;0.0;25.0
initialize,insert document,save,begin editing,save,save,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;50.0
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.11
