path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,save,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;no data;051days 08h 47m 44s;no data;000days 00h 00m 03s;;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing;no data;no data;044days 06h 25m 17s;no data;000days 00h 00m 28s;no data;001days 22h 10m 07s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;no data;no data;136days 01h 56m 33s;no data;041days 12h 04m 37s;017days 11h 37m 24s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;059days 14h 21m 21s;no data;052days 07h 34m 03s;;000days 01h 18m 28s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,finish editing,save,check,finish editing;no data;no data;035days 08h 29m 28s;no data;000days 00h 00m 03s;000days 00h 00m 33s;000days 01h 48m 27s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;050days 13h 08m 03s;015days 19h 09m 31s;000days 00h 00m 15s;000days 00h 01m 07s;025days 23h 33m 55s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;no data;no data;287days 02h 07m 32s;no data;000days 00h 00m 05s;004days 19h 59m 07s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;016days 14h 10m 15s;060days 04h 27m 54s;200days 11h 21m 29s;;;;;;;;;
initialize,begin editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;041days 01h 07m 05s;178days 05h 00m 45s;045days 23h 34m 46s;;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing;no data;no data;114days 09h 08m 06s;no data;043days 00h 09m 03s;no data;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing;no data;no data;099days 00h 08m 21s;no data;045days 14h 50m 44s;;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;227days 12h 50m 30s;071days 20h 23m 01s;093days 10h 32m 54s;;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,check,finish editing;no data;000days 00h 00m 00s;025days 00h 30m 17s;000days 04h 44m 50s;000days 00h 00m 02s;008days 01h 39m 16s;;;;;;;;
initialize,begin editing,insert document,save,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;124days 10h 35m 48s;011days 13h 33m 13s;000days 00h 00m 11s;036days 07h 27m 03s;;;;;;;;
initialize,begin editing,insert document,save,save,save,check,save,check,check,check,finish editing,save,check,finish editing;no data;no data;009days 20h 15m 47s;no data;000days 00h 00m 22s;006days 23h 04m 57s;;;;;;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 06m 08s;057days 08h 50m 40s;000days 00h 00m 10s;077days 16h 01m 26s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;029days 22h 32m 02s;158days 07h 36m 29s;000days 00h 00m 02s;000days 00h 01m 19s;000days 00h 22m 22s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;130days 11h 23m 41s;no data;000days 00h 00m 03s;;;;;;;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,save,check,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;160days 01h 06m 35s;no data;029days 17h 09m 27s;051days 23h 42m 29s;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,save,finish editing,save,finish editing,save,finish editing,finish editing;no data;000days 00h 00m 00s;082days 01h 55m 12s;060days 22h 33m 10s;108days 03h 17m 33s;;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,save,check,finish editing;no data;no data;130days 02h 59m 34s;no data;002days 01h 50m 25s;000days 00h 00m 54s;000days 02h 20m 48s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;015days 21h 19m 57s;;000days 00h 00m 13s;;035days 12h 55m 32s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;047days 23h 57m 07s;no data;000days 00h 00m 00s;no data;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;211days 15h 22m 53s;no data;000days 00h 00m 38s;no data;000days 16h 04m 42s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,save,save,save,finish editing,save,finish editing,save,check,finish editing;no data;no data;104days 06h 13m 50s;no data;000days 00h 40m 32s;003days 17h 49m 05s;no data;no data;no data;no data;no data;;;
initialize,begin editing,save,save,check,finish editing;no data;007days 11h 46m 09s;016days 22h 48m 59s;;000days 00h 00m 21s;012days 21h 56m 16s;;;;;;;;
initialize,begin editing,save,check,insert document,save,finish editing;no data;007days 22h 34m 31s;000days 00h 06m 21s;001days 15h 07m 11s;000days 00h 00m 23s;020days 04h 25m 58s;;;;;;;;
initialize,begin editing,insert document,save,check,check,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,save,finish editing;no data;no data;012days 01h 21m 13s;no data;020days 05h 36m 37s;038days 18h 26m 45s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing,finish editing;no data;no data;084days 02h 34m 24s;no data;002days 17h 45m 57s;000days 00h 00m 09s;000days 00h 53m 28s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,save,check,finish editing;no data;no data;254days 12h 17m 29s;no data;000days 00h 01m 14s;no data;000days 16h 07m 08s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing;no data;no data;090days 14h 48m 00s;no data;037days 23h 25m 48s;no data;;;;;;;;
initialize,begin editing,save,insert document,save,save,check,save,finish editing;no data;no data;001days 08h 10m 26s;no data;no data;no data;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,insert document,save;no data;no data;147days 18h 22m 17s;081days 08h 29m 08s;112days 13h 40m 30s;;;;;;;;;
initialize,begin editing,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing;no data;no data;022days 01h 37m 23s;no data;092days 07h 08m 41s;no data;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;no data;104days 01h 28m 56s;no data;000days 00h 00m 27s;;001days 13h 45m 39s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;no data;000days 00h 00m 00s;;;177days 08h 45m 32s;;000days 18h 37m 49s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;149days 05h 00m 36s;076days 05h 32m 58s;000days 00h 05m 12s;047days 14h 34m 20s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,finish editing,finish editing,finish editing,save,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing;no data;no data;060days 02h 04m 31s;no data;074days 01h 07m 07s;000days 00h 00m 02s;;;;;;;;
initialize,begin editing,save,insert document,save,finish editing,save,check,finish editing;no data;no data;308days 15h 37m 47s;no data;000days 00h 00m 00s;no data;;;;;;;;
initialize,begin editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;068days 12h 32m 03s;000days 18h 48m 23s;041days 05h 08m 14s;;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,check,finish editing,save,check,finish editing,save,finish editing;no data;no data;025days 20h 38m 51s;no data;000days 00h 00m 25s;000days 00h 00m 23s;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing;no data;no data;063days 10h 05m 03s;no data;000days 00h 00m 03s;030days 01h 38m 38s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;no data;no data;014days 13h 03m 24s;no data;002days 15h 43m 20s;no data;000days 16h 00m 06s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing;no data;no data;047days 06h 27m 34s;no data;011days 19h 14m 00s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;187days 04h 05m 55s;003days 18h 31m 11s;000days 00h 00m 25s;004days 05h 50m 27s;;;;;;;;
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,save,finish editing;no data;no data;188days 11h 14m 51s;no data;007days 12h 06m 12s;025days 10h 55m 45s;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,check,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;019days 19h 28m 02s;no data;no data;054days 04h 22m 19s;no data;no data;no data;no data;no data;;;
initialize,begin editing,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;028days 15h 19m 46s;no data;000days 00h 00m 17s;022days 20h 46m 49s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;no data;no data;no data;no data;017days 18h 24m 07s;;047days 11h 10m 26s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,check,save,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;067days 21h 46m 00s;no data;000days 00h 00m 25s;023days 07h 33m 10s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;no data;no data;130days 04h 41m 48s;no data;023days 13h 14m 11s;no data;;;;;;;;
initialize,begin editing,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing;no data;no data;163days 15h 34m 22s;no data;000days 00h 00m 03s;022days 17h 50m 07s;no data;no data;no data;no data;no data;;;
initialize,begin editing,save,insert document,save,save,finish editing,save,finish editing;no data;004days 01h 18m 34s;037days 09h 24m 16s;003days 23h 36m 05s;021days 05h 43m 24s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing;no data;no data;031days 01h 42m 42s;no data;059days 12h 33m 41s;no data;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;no data;no data;124days 14h 39m 35s;;001days 13h 45m 10s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;no data;040days 05h 01m 07s;no data;000days 00h 00m 04s;000days 00h 00m 08s;044days 12h 08m 07s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;011days 19h 41m 55s;no data;000days 00h 00m 51s;;;;;;;;;
initialize,begin editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;056days 06h 50m 08s;045days 00h 33m 28s;000days 00h 00m 03s;011days 10h 35m 18s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,finish editing;no data;000days 00h 00m 00s;076days 07h 58m 43s;104days 22h 34m 20s;025days 11h 42m 37s;;000days 23h 06m 48s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,finish editing,save,finish editing;no data;no data;000days 00h 25m 43s;no data;091days 18h 14m 48s;no data;001days 22h 12m 47s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;087days 18h 19m 55s;002days 17h 02m 27s;000days 00h 00m 04s;000days 00h 00m 19s;034days 17h 50m 03s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,save,check,finish editing;no data;no data;004days 03h 00m 09s;no data;000days 00h 00m 01s;no data;001days 22h 03m 55s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;no data;no data;091days 12h 43m 00s;no data;000days 00h 00m 27s;;no data;no data;no data;no data;no data;;;
initialize,begin editing,save,insert document,save,finish editing,insert document,save,check,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;000days 00h 00m 21s;000days 00h 04m 12s;025days 23h 10m 36s;no data;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,save,save,check,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;085days 06h 11m 30s;no data;000days 00h 00m 31s;000days 00h 00m 15s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,finish editing;no data;no data;089days 09h 06m 36s;no data;000days 00h 18m 43s;;;;;;;;;
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;062days 01h 51m 59s;001days 07h 48m 58s;000days 00h 00m 38s;050days 02h 24m 45s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;006days 06h 52m 51s;;000days 00h 00m 00s;;039days 06h 10m 07s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 19m 20s;237days 21h 09m 39s;112days 13h 47m 40s;000days 00h 00m 16s;000days 16h 13m 03s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing,save,finish editing;no data;no data;036days 18h 21m 52s;no data;000days 00h 00m 37s;027days 00h 35m 23s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save;no data;no data;no data;no data;000days 00h 00m 00s;;000days 02h 21m 07s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;078days 21h 19m 00s;;000days 00h 00m 23s;;000days 13h 08m 30s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing;no data;no data;066days 11h 27m 01s;no data;022days 07h 05m 30s;016days 04h 23m 34s;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,save,save,save,finish editing,insert document,save,save,remove document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;040days 21h 21m 32s;014days 22h 22m 24s;000days 00h 00m 24s;;no data;no data;no data;no data;no data;;no data;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;101days 15h 33m 28s;020days 00h 20m 10s;001days 01h 43m 19s;;000days 01h 17m 04s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,insert document,save,begin editing,save,save,check,save,check,check,check,check,finish editing,save,save,save,save,save,save,save,check,finish editing,insert document,save,finish editing;no data;no data;009days 23h 28m 10s;121days 12h 49m 20s;000days 00h 00m 03s;056days 18h 04m 15s;;;;;;;;
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;038days 02h 48m 09s;008days 04h 54m 52s;000days 00h 00m 04s;;040days 21h 11m 15s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing;no data;no data;101days 20h 37m 23s;no data;000days 00h 00m 03s;000days 00h 00m 09s;000days 00h 45m 56s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,finish editing,save,finish editing,check,finish editing,save,check,check,finish editing;no data;no data;050days 18h 14m 15s;no data;000days 00h 00m 15s;009days 08h 25m 28s;000days 01h 33m 42s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;074days 06h 33m 12s;128days 21h 01m 12s;024days 12h 34m 52s;;000days 10h 59m 46s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,save,finish editing;no data;no data;025days 04h 15m 16s;no data;000days 00h 00m 45s;no data;000days 00h 58m 24s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,save,check,finish editing,save,save,check,finish editing,save,check,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;032days 22h 33m 32s;no data;000days 00h 00m 31s;000days 00h 00m 26s;000days 16h 07m 28s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,save,save,check,check,check,finish editing,insert document,save,finish editing,save,finish editing,save,save,finish editing;no data;no data;013days 16h 16m 03s;no data;000days 00h 00m 54s;000days 00h 05m 05s;;;;;;;;
initialize,begin editing,insert document,save,check,check,finish editing;no data;000days 00h 00m 00s;000days 00h 20m 35s;012days 12h 35m 47s;000days 00h 00m 05s;027days 09h 10m 42s;;;;;;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;118days 02h 44m 15s;076days 09h 31m 40s;000days 00h 00m 06s;011days 05h 00m 49s;037days 08h 14m 51s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,save,check,save,save,check,finish editing,save,finish editing,save,finish editing;no data;no data;028days 11h 34m 47s;no data;000days 00h 18m 17s;000days 00h 00m 17s;;;;;;;;
